_id,jobCode,statusCode,durFromTriggerStatus,serviceProvider,templateBody,templateName,placeholders[0],placeholders[1],placeholders[2],placeholders[3],placeholders[4],placeholders[5],placeholders[6],placeholders[7],placeholders[8],recipientRoles[0],recipientRoles[1],recipientRoles[2],recipientRoles[3],recipientRoles[4],recipientRoles[5],recipientRoles[6],recipientRoles[7],recipientRoles[8],recipientRoles[9],recipientRoles[10],communicationType,from,_class
6777fbb7023fa331d7fad81e,BREAKDOWN,CCS002,5,Dealer,"Only 2 minutes left, please leave for breakdown location on priority  Case No : <CaseNumber>, Allocation Time : <AlcTime>, <CaseType>  Vehicle : <Model>, <Variant>, <RegNumber>   Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>  Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",breakdown_dealer_escalation_fix_min,CaseNumber,AlcTimeCaseType,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,,TEC,,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad81f,BREAKDOWN,CCS002,7,Dealer,"<EscDuration> mins has passed and MSRS Technician has not left for attending customer yet.  Case No : <CaseNumber>, Allocation Time : <AlcTime>, <CaseType>  Vehicle : <Model>, <Variant>, <RegNumber>   Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>  Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",breakdown_dealer_escalation_var_min,EscDuration,CaseNumber,AlcTimeCaseType,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,WM,GM,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad820,BREAKDOWN,CCS002,12,Dealer,"<EscDuration> mins has passed and MSRS Technician has not left for attending customer yet.  Case No : <CaseNumber>, Allocation Time : <AlcTime>, <CaseType>  Vehicle : <Model>, <Variant>, <RegNumber>   Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>  Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",breakdown_dealer_escalation_var_min,EscDuration,CaseNumber,AlcTimeCaseType,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,TSM,ROC,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad821,BREAKDOWN,CCS002,17,Dealer,"<EscDuration> mins has passed and MSRS Technician has not left for attending customer yet.  Case No : <CaseNumber>, Allocation Time : <AlcTime>, <CaseType>  Vehicle : <Model>, <Variant>, <RegNumber>   Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>  Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",breakdown_dealer_escalation_var_min,EscDuration,CaseNumber,AlcTimeCaseType,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,RSM,HO,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad822,BREAKDOWN,CCS002,22,Dealer,"<EscDuration> mins has passed and MSRS Technician has not left for attending customer yet.  Case No : <CaseNumber>, Allocation Time : <AlcTime>, <CaseType>  Vehicle : <Model>, <Variant>, <RegNumber>   Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>  Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",breakdown_dealer_escalation_var_min,EscDuration,CaseNumber,AlcTimeCaseType,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,ZSH,,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad823,BREAKDOWN,CCS002,27,Dealer,"<EscDuration> mins has passed and MSRS Technician has not left for attending customer yet.  Case No : <CaseNumber>, Allocation Time : <AlcTime>, <CaseType>  Vehicle : <Model>, <Variant>, <RegNumber>   Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>  Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",breakdown_dealer_escalation_var_min,EscDuration,CaseNumber,AlcTimeCaseType,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,CH,DVM SNSDM,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad824,ACCIDENTAL,CCS002,5,Dealer,"Only 2 minutes left, towing arrangement to be done urgently.  Case No : <CaseNumber>, Allocation Time : <AlcTime>,  Vehicle : <Model>, <Variant>, <RegNumber>,  Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>,  Problem : <ProblemDesc>,  Breakdown Location : <BreakdownLocation>,  Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",accidental_dealer_escalation_fix_min,CaseNumber,AlcTime,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,,TEC,,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad825,ACCIDENTAL,CCS002,7,Dealer,"<EscDuration> mins has passed and Towing arrangement has not been done yet. Kindly support for urgent towing arrangement.  Case No : <CaseNumber>, Allocation Time : <AlcTime>  Vehicle : <Model>, <Variant>, <RegNumber>,  Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>,  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>   Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",accidental_dealer_escalation_var_min,EscDuration,CaseNumber,AlcTime,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,WM,GM,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad826,ACCIDENTAL,CCS002,12,Dealer,"<EscDuration> mins has passed and Towing arrangement has not been done yet. Kindly support for urgent towing arrangement.  Case No : <CaseNumber>, Allocation Time : <AlcTime>  Vehicle : <Model>, <Variant>, <RegNumber>,  Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>,  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>   Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",accidental_dealer_escalation_var_min,EscDuration,CaseNumber,AlcTime,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,TSM,ROC,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad827,ACCIDENTAL,CCS002,17,Dealer,"<EscDuration> mins has passed and Towing arrangement has not been done yet. Kindly support for urgent towing arrangement.  Case No : <CaseNumber>, Allocation Time : <AlcTime>  Vehicle : <Model>, <Variant>, <RegNumber>,  Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>,  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>   Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",accidental_dealer_escalation_var_min,EscDuration,CaseNumber,AlcTime,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,RSM,HO,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
6777fbb7023fa331d7fad828,ACCIDENTAL,CCS002,22,Dealer,"<EscDuration> mins has passed and Towing arrangement has not been done yet. Kindly support for urgent towing arrangement.  Case No : <CaseNumber>, Allocation Time : <AlcTime>  Vehicle : <Model>, <Variant>, <RegNumber>,  Customer : <CustName>, <Family>, Mob : <CustMob>, <PermanentMob>,  Problem : <ProblemDesc>  Breakdown Location : <BreakdownLocation>   Dealer: <DealerName>, <ForCode>, <ServiceCode> - <OutletCode>, <RegionCode> Team Maruti Suzuki",accidental_dealer_escalation_var_min,EscDuration,CaseNumber,AlcTime,ModelVariantRegNumber,CustNameFamily,CustMobPermanentMob,ProblemDesc,AreaCityState,DealerDetails,ZSH,DPM-WPDCS,,,,,,,,,,SMS,MSILDM,com.msil.crm.inbound.workflow.domain.model.MOSEscalationConfiguration
